offset,mean,median,hit_rate,n
4280,244.24621857157166,232,0.0,9983
4281,264.1439295365829,252,0.0,9991
4282,248.50611099979963,236.0,0.00010018032458425165,9982
4283,249.28748748748748,240.0,0.0,9990
4284,248.58385964912281,230,0.0,9975
4285,252.10733954140383,240,0.0,9987
4286,253.23615977575332,236,0.0,9989
4287,249.3528999298808,236,0.0,9983
4288,255.5094604064471,246,0.0,9989
4289,245.61118348531917,236,0.0,9979
4290,253.01652478718077,244,0.0,9985
4291,247.68245069576534,230,0.0,9989
4292,261.03393053748374,252,0.0,9991
4293,251.58686292179834,240,0.0,9987
4294,249.88729856871183,240,0.0,9991
4295,246.1779380823565,232,0.0,9981
4296,254.97443096360172,238,0.0,9973
4297,244.2664796633941,230.0,0.0,9982
4298,249.54334334334334,240.0,0.0,9990
4299,261.5128744614768,246,0.0,9981
4300,265.84325893303975,254,0.0,9991
4301,245.94589720468892,228,0.0,9981
4302,258.57268899137756,244.0,0.0,9974
4303,252.4283568639231,240,0.0,9987
4304,242.0138221153846,228.0,0.0,9984
4305,250.34585712854422,230,0.0,9981
4306,276.4620018070475,254,0.0,9961
4307,256.12459935897436,238.0,0.0,9984
4308,257.96753832281337,242,0.0,9981
4309,258.9661884217919,248,0.0,9967
4310,248.4460720377245,228,0.0,9967
4311,243.41932899349024,230,0.0,9985
4312,264.90812543833283,246,0.0,9981
4313,245.58196392785572,232.0,0.0,9980
4314,252.8185096153846,236.0,0.0,9984
4315,240.0900702106319,226.0,0.0,9970
4316,258.40802809834423,240,0.0,9965
4317,245.96513724704468,232.0,0.0,9982
4318,265.16551378446115,244,0.0,9975
4319,252.7223611805903,242,0.0,9995
4320,254.75353029544317,240,0.0,9985
4321,261.94108806732794,246,0.0,9981
4322,246.41318505159805,230,0.0,9981
4323,244.70279475107682,234,0.0,9983
4324,258.67341214185535,246.0,0.0,9982
4325,252.509466092357,240,0.0,9983
4326,245.54014232735292,230,0.0,9977
4327,244.48678414096915,234.0,0.0,9988
4328,251.68953068592057,232.0,0.0,9972
4329,259.52018431333266,248,0.0,9983
4330,256.43493082013237,242.0,0.0,9974
4331,263.1019427198077,246.0,0.0,9986
4332,259.1964697623107,240,0.0,9971
4333,242.03908207235193,230,0.0,9979
4334,248.16949492920975,230,0.0,9959
4335,242.80096211665665,230.0,0.0,9978
4336,242.14607754733996,230,0.0,9981
4337,258.35163070747615,246,0.0,9965
4338,242.0126239855726,230,0.0,9981
4339,247.69616194007415,234,0.0,9979
4340,253.79152440249047,236.0,0.0,9958
4341,251.7045340806726,242,0.0,9991
4342,250.39055149634672,238,0.0,9991
4343,247.19058116232466,236.0,0.0,9980
4344,259.6607178664528,248.0,0.0,9974
4345,259.0777108433735,240.0,0.0,9960
4346,265.265203887386,252,0.0,9981
4347,255.60962406015037,240,0.0,9975
4348,255.0039058587882,240,0.0,9985
4349,253.53410115172758,236,0.0,9985
4350,259.20392824932355,248,0.0,9979
4351,259.8182550876486,240.0,0.0,9926
4352,260.49255233494364,236.0,0.0,9936
4353,252.12318186377772,236,0.0,9969
4354,264.10764132945076,244,0.0,9959
4355,244.12968530767688,230.0,0.00010022048506714773,9978
4356,255.21295367956688,234.0,0.0,9974
4357,243.3421686746988,226.0,0.0,9960
4358,253.3462309542903,236.0,0.0,9976
4359,257.4635808035267,236,0.0,9981
4360,258.31050045130877,236,0.0,9971
4361,264.3624699278268,254.0,0.0,9976
4362,255.76423416198878,240.0,0.0,9976
4363,247.8824236354532,234,0.0,9985
4364,262.3968285828984,240.0,0.0,9964
4365,257.12737832966155,246.0,0.0,9986
4366,254.8510937186434,234.0,0.00010034115994380895,9966
4367,265.0657036814124,246,0.0,9969
4368,265.32230576441106,246,0.0,9975
4369,251.51802162595115,240.0,0.0,9988
4370,240.52649504157068,228,0.0,9983
4371,255.98575870023066,246,0.0,9971
4372,255.2328959230692,240,0.0,9983
4373,259.8172710879583,248.0,0.0,9982
