stride,access_size,test_ptr,mean,median,hit_rate,n
1,5,22,323.7059117735321,272,0.0,9997
1,5,23,326.787,274.0,0.0,10000
1,5,24,325.2179217921792,266,0.0,9999
1,5,25,307.3988797759552,266.0,0.0,9998
1,5,26,301.9059905990599,266,0.0,9999
1,5,27,295.7482,266.0,0.0,10000
1,5,28,280.6380638063806,266,0.0,9999
1,5,29,340.7548,266.0,0.0,10000
1,5,30,331.0346069213843,266.0,0.0,9998
1,5,31,325.6495649564956,272,0.0,9999
1,5,32,349.13471347134714,272,0.0,9999
1,5,33,322.9836,266.0,0.0,10000
1,5,34,287.1548,266.0,0.0,10000
1,5,35,305.6629325865173,272.0,0.0,9998
1,5,36,332.264,272.0,0.0,10000
1,5,37,302.181,272.0,0.0,10000
1,5,38,291.5975597559756,266,0.0,9999
1,5,39,350.4196,266.0,0.0,10000
1,5,40,299.242,272.0,0.0,10000
1,5,41,313.8959895989599,266,0.0,9999
1,5,42,303.1126,272.0,0.0,10000
1,5,43,292.4382,266.0,0.0,10000
1,5,44,319.945,272.0,0.0,10000
1,5,45,326.2972297229723,272,0.0,9999
1,5,46,311.0758151630326,272.0,0.0,9998
1,5,47,305.1098,282.0,0.0,10000
1,5,48,312.0704,272.0,0.0,10000
1,5,49,328.9612,280.0,0.0,10000
1,5,50,308.0138,272.0,0.0,10000
1,5,51,309.0502,282.0,0.0,10000
1,5,52,299.5817581758176,266,0.0,9999
1,5,53,337.5498,272.0,0.0,10000
1,5,54,337.2586,272.0,0.0,10000
1,5,55,310.1662,282.0,0.0,10000
1,5,56,289.0774,274.0,0.0,10000
1,5,57,314.6536,272.0,0.0,10000
1,5,58,350.0396,272.0,0.0,10000
1,5,59,306.8094,272.0,0.0,10000
1,5,60,307.5753150630126,266.0,0.0,9998
1,5,61,350.6456,272.0,0.0,10000
1,5,62,324.511,272.0,0.0,10000
1,5,63,316.8904,272.0,0.0,10000
1,5,64,312.9504,272.0,0.0,10000
1,5,65,338.35963596359636,272,0.0,9999
1,5,66,333.4078,272.0,0.0,10000
1,5,67,305.9104,272.0,0.0,10000
1,5,68,306.6306,272.0,0.0,10000
1,5,69,324.6192619261926,272,0.0,9999
1,5,70,312.2908290829083,266,0.0,9999
1,5,71,320.81356271254253,272.0,0.0,9998
1,5,72,309.0424084816963,272.0,0.0,9998
1,5,73,297.4332,272.0,0.0,10000
1,5,74,310.5994,266.0,0.0,10000
